timestamp,raw_image_path,optical_flow_image_path,cloud_mask_image_path,ghi,dni,dhi,temp,pressure,delta_ghi
9/1/2019 6:42,datasets/cropped_raw_images/09_Metas/01/06/20190901064200_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901064200_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901064200_00160.png,3.8,0,3.5,19.5,959,0
9/1/2019 6:43,datasets/cropped_raw_images/09_Metas/01/06/20190901064300_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901064300_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901064300_00160.png,4.5,0,4.3,19.5,959,0.7
9/1/2019 6:44,datasets/cropped_raw_images/09_Metas/01/06/20190901064400_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901064400_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901064400_00160.png,5.3,0,5.1,19.4,959,0.8
9/1/2019 6:45,datasets/cropped_raw_images/09_Metas/01/06/20190901064500_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901064500_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901064500_00160.png,6.1,0,5.9,19.4,959,0.8
9/1/2019 6:46,datasets/cropped_raw_images/09_Metas/01/06/20190901064600_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901064600_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901064600_00160.png,6.8,0,6.6,19.3,960,0.7
9/1/2019 6:47,datasets/cropped_raw_images/09_Metas/01/06/20190901064700_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901064700_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901064700_00160.png,7.6,0,7.4,19.3,959,0.8
9/1/2019 6:48,datasets/cropped_raw_images/09_Metas/01/06/20190901064800_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901064800_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901064800_00160.png,8.4,0,8.2,19.2,959,0.8
9/1/2019 6:49,datasets/cropped_raw_images/09_Metas/01/06/20190901064900_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901064900_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901064900_00160.png,9.3,0,9.1,19.2,960,0.9
9/1/2019 6:50,datasets/cropped_raw_images/09_Metas/01/06/20190901065000_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901065000_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901065000_00160.png,10.1,0,10,19.2,959,0.8
9/1/2019 6:51,datasets/cropped_raw_images/09_Metas/01/06/20190901065100_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901065100_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901065100_00160.png,11,1.3,10.9,19.1,959,0.9
9/1/2019 6:52,datasets/cropped_raw_images/09_Metas/01/06/20190901065200_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901065200_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901065200_00160.png,11.9,19,11.8,19.2,960,0.9
9/1/2019 6:53,datasets/cropped_raw_images/09_Metas/01/06/20190901065300_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901065300_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901065300_00160.png,13.2,40,12.7,19.4,960,1.3
9/1/2019 6:54,datasets/cropped_raw_images/09_Metas/01/06/20190901065400_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901065400_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901065400_00160.png,14.3,30.2,13.6,19.6,960,1.1
9/1/2019 6:55,datasets/cropped_raw_images/09_Metas/01/06/20190901065500_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901065500_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901065500_00160.png,14.7,4.6,14.5,19.8,959,0.4
9/1/2019 6:56,datasets/cropped_raw_images/09_Metas/01/06/20190901065600_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901065600_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901065600_00160.png,15.5,18.1,15.4,19.9,960,0.8
9/1/2019 6:57,datasets/cropped_raw_images/09_Metas/01/06/20190901065700_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901065700_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901065700_00160.png,18.6,86.9,16.3,20,959,3.1
9/1/2019 6:58,datasets/cropped_raw_images/09_Metas/01/06/20190901065800_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901065800_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901065800_00160.png,23.6,143.1,17.1,20.1,960,5
9/1/2019 6:59,datasets/cropped_raw_images/09_Metas/01/06/20190901065900_00160.jpg,datasets/optical_flow_images/09_Metas/01/06/20190901065900_00160.jpg,datasets/cloud_mask_images/09_Metas/01/06/20190901065900_00160.png,26.8,158.7,18.1,20.2,960,3.2
9/1/2019 7:00,datasets/cropped_raw_images/09_Metas/01/07/20190901070000_00160.jpg,datasets/optical_flow_images/09_Metas/01/07/20190901070000_00160.jpg,datasets/cloud_mask_images/09_Metas/01/07/20190901070000_00160.png,28.6,167.4,18.9,20.3,960,1.8
9/1/2019 7:01,datasets/cropped_raw_images/09_Metas/01/07/20190901070100_00160.jpg,datasets/optical_flow_images/09_Metas/01/07/20190901070100_00160.jpg,datasets/cloud_mask_images/09_Metas/01/07/20190901070100_00160.png,30.6,177,19.8,20.3,959,2
9/1/2019 7:02,datasets/cropped_raw_images/09_Metas/01/07/20190901070200_00160.jpg,datasets/optical_flow_images/09_Metas/01/07/20190901070200_00160.jpg,datasets/cloud_mask_images/09_Metas/01/07/20190901070200_00160.png,32.5,186.9,20.4,20.4,959,1.9
9/1/2019 7:03,datasets/cropped_raw_images/09_Metas/01/07/20190901070300_00160.jpg,datasets/optical_flow_images/09_Metas/01/07/20190901070300_00160.jpg,datasets/cloud_mask_images/09_Metas/01/07/20190901070300_00160.png,34.5,196.2,21.1,20.4,960,2
9/1/2019 7:04,datasets/cropped_raw_images/09_Metas/01/07/20190901070400_00160.jpg,datasets/optical_flow_images/09_Metas/01/07/20190901070400_00160.jpg,datasets/cloud_mask_images/09_Metas/01/07/20190901070400_00160.png,36.6,205.2,21.9,20.5,960,2.1
9/1/2019 7:05,datasets/cropped_raw_images/09_Metas/01/07/20190901070500_00160.jpg,datasets/optical_flow_images/09_Metas/01/07/20190901070500_00160.jpg,datasets/cloud_mask_images/09_Metas/01/07/20190901070500_00160.png,39,214.5,22.8,20.5,960,2.4
9/1/2019 7:06,datasets/cropped_raw_images/09_Metas/01/07/20190901070600_00160.jpg,datasets/optical_flow_images/09_Metas/01/07/20190901070600_00160.jpg,datasets/cloud_mask_images/09_Metas/01/07/20190901070600_00160.png,41.2,223.1,23.7,20.5,960,2.2
9/1/2019 7:07,datasets/cropped_raw_images/09_Metas/01/07/20190901070700_00160.jpg,datasets/optical_flow_images/09_Metas/01/07/20190901070700_00160.jpg,datasets/cloud_mask_images/09_Metas/01/07/20190901070700_00160.png,43.7,232.4,24.5,20.6,960,2.5
9/1/2019 7:08,datasets/cropped_raw_images/09_Metas/01/07/20190901070800_00160.jpg,datasets/optical_flow_images/09_Metas/01/07/20190901070800_00160.jpg,datasets/cloud_mask_images/09_Metas/01/07/20190901070800_00160.png,46.1,241.7,25.4,20.7,960,2.4
